Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS0926,*I* NASA Treeline-Forest Tundra Eco,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,55941.95,8515.08,0
2,NS3813,*I* NASA FINESST Mechanisms,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,50565.71,0,9918.96
3,NS1071,*I*NASA Animals on the Move,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,11733.14,2977.06,0
4,NS2646,*I*NASA NESSF Landscape Scale Est.,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,1669.72,0,0
