Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW5604,IF&G Moose Ecology,Janet Rachlow Witham,V00779206, Idaho Department of Fish & Game,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,70972.8,0,19449
2,NW5338,USACE Alaska Collared Pika YR2,Janet Rachlow Witham,V00779206, US Army Corps of Engineers,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,15357.23,1393.05,6004
3,NW4195,*I*Moose Ecology in Idaho,Janet Rachlow Witham,V00779206, Idaho Department of Fish & Game,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,4980.07,0,0
