Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NF4801,USDA FS Developing Fire Prof 2020,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,55048.21,0,0
2,NR3956,USDA FS Wildland Fire Management,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,38739.31,3521.75,0
3,NR8101,USFS Curricula Dev for Fire Mgmt,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,18400.74,1672.78,0
4,NW5700,USDI NPS BADL Bison & Water,Eva Strand,V00096425, USDI National Park Service,CNR College of Natural Resources,CNR College of Natural Resources,12397.94,1825.62,0
5,NR4913,USDI BLM Fuel breaks,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,12295.95,1810.6,0
6,NR7547,UNR Grt Basin Fire Sci Exch 24-25,Eva Strand,V00096425, University of Nevada at Reno,CNR College of Natural Resources,CNR College of Natural Resources,4162.01,612.87,0
7,NR7235,USDI BLM Smoke Management Course,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,2010.07,295.99,0
8,NR6875,USDI BLM Sagebrush Shrub Biomass,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,-0.11,-0.02,0
