Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR4926,BLM AIM Support,Jason Karl,V00017256, USDI Bureau Of Land Management,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,87502.03,15955.73,10178
2,NR3078,*I* USDA NRCSGrazing Infor. System,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,7157.43,2304.94,0
3,NR6904,WDFW Drones for game bird surveys,Jason Karl,V00017256, Washington Department of Fish & Wildlife,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6857.94,1415.14,0
4,NR3077,USDA NRCs-Managing Grazeland,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0.01,0.01,0
