Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS5310,NSF Biomass Smoke Microbes,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,147643.53,41270.74,12248
2,NS4718,*I* NSF Communicating Fire,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,146969.08,32426.65,24118.25
3,NS5602,UF Phase II Pyroaeromycoses,Leda Kobziar,V00485099, University of Florida,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,44615.16,0,0
4,NS5051,*I* EPA Fire Aerosolizes Microbes,Leda Kobziar,V00485099, US Environmental Protection Agency,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,33750.01,6975.34,0
5,NS4771,USDA FS FASMEE Smoke,Leda Kobziar,V00485099, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,109.37,0,0
6,NS4771C,USDA FS FASMEE Smoke-CS,Leda Kobziar,V00485099, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
