Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS5497,CONSCI1 Fire Preparedness,Travis Paveglio,V00445866, Conservation Science Partners Inc,CNR Natural Resources & Society,CNR College of Natural Resources,25299.17,5220.49,0
2,NS3716,USDA FS Cross-Boundary Fire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,24586.44,0,0
3,NS4071,USDI BLM Recreation Use Planning,Travis Paveglio,V00445866, USDI Bureau Of Land Management,CNR Natural Resources & Society,CNR College of Natural Resources,21369.74,3182.78,0
4,NS2806,*I* USDA FS-CaseStudies of Wildfire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,15414.06,0,0
5,NS5519,USDA FS Cross Boundary Wildfire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,10694.8,972.24,0
