Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AM5121,*I* USDA NIFA 2021 RREA Program,Randall Brooks,V00007379, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,14113.42,0,0
2,NR2779,*I* USFS Payette Forest Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,49.56,2.36,0
3,NR2779C,USFS Payette Forest Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
4,NR2193C,*I*USDA FS Nez Perce Internships-Co,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
5,NR2521C,*I* USDA FS Caribou-Targhee Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
