Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW5123,NASA GEDI Wildlife Applications,Kerri Vierling,V01072867, National Aeronautic Space Ad.,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,13750.82,4428.23,0
2,NW7389,NASA GEDI and Bats (FINESST),Kerri Vierling,V01072867, National Aeronautic Space Ad.,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,10743.03,0,5723
3,NW4270,MULTIP DDCSP 2019,Kerri Vierling,V01072867, Multiplier,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,1497.38,160.43,0
