Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR5021,NIFA Nez Perce Agriculture Mngmt,Tara Hudiburg,V00468064, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,79082.74,23359.77,0
2,NR2519,*I* U IL CABBI,Tara Hudiburg,V00468064, University of Illinois,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,56594.86,18225.45,0
3,NF2117,NSF - Fire-Regime Variability,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,-952,-306.57,0
