Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR3956,USDA FS Wildland Fire Management,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,394354.06,35850.21,0
2,NF4801,USDA FS Developing Fire Prof 2020,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,311851.45,0,0
3,NR4913,USDI BLM Fuel breaks,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,110929.74,16521.19,0
4,NR5940,USFWS Fire and Invasives,Eva Strand,V00096425, US Fish and Wildlife Service,CNR College of Natural Resources,CNR College of Natural Resources,39282.64,5850.26,0
5,NW5700,USDI NPS BADL Bison & Water,Eva Strand,V00096425, USDI National Park Service,CNR College of Natural Resources,CNR College of Natural Resources,36663.23,3613.98,12398
6,NR5117,UNR Great Basin Online Courses,Eva Strand,V00096425, University of Nevada at Reno,CNR College of Natural Resources,CNR College of Natural Resources,20166.59,3003.55,0
7,NR4260,USDA FS Sagebrush Biome,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,4705.68,0,0
8,NR6875,USDI BLM Sagebrush Shrub Biomass,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,3425.84,510.2,0
9,NF2060,USDA FS Fire Professionals,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,-0.08,0,0
