Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS3716,USDA FS Cross-Boundary Fire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,53511.83,0,0
2,NS6899,USDI BLM Diverse wildfire recovery,Travis Paveglio,V00445866, USDI Bureau Of Land Management,CNR Natural Resources & Society,CNR College of Natural Resources,52773.57,7844.35,0
3,NS4071,USDI BLM Recreation Use Planning,Travis Paveglio,V00445866, USDI Bureau Of Land Management,CNR Natural Resources & Society,CNR College of Natural Resources,48490.7,7210.1,0
4,NS6164,WRTC Advancing Fire Adapted Communi,Travis Paveglio,V00445866, Watershed Research And Training Center,CNR Natural Resources & Society,CNR College of Natural Resources,40964.35,6827.41,0
5,NS5519,USDA FS Cross Boundary Wildfire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,5775.71,525.07,0
6,NS5497,CONSCI1 Fire Preparedness,Travis Paveglio,V00445866, Conservation Science Partners Inc,CNR Natural Resources & Society,CNR College of Natural Resources,5473.35,1129.41,0
7,NS7735,USFS Commu capacity for wildfire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,803.54,0,0
8,NS7520,USDA FS CCS:Comm-level soc vulnerab,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,125.94,18.76,0
