Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS4071,USDI BLM Recreation Use Planning,Travis Paveglio,V00445866, USDI Bureau Of Land Management,CNR Natural Resources & Society,CNR College of Natural Resources,54265.96,8082.14,0
2,NS3716,USDA FS Cross-Boundary Fire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,50311.34,0,0
3,NS5519,USDA FS Cross Boundary Wildfire,Travis Paveglio,V00445866, USDA Forest Service,CNR Natural Resources & Society,CNR College of Natural Resources,26387.98,2399.04,0
4,NS6164,WRTC Advancing Fire Adapted Communi,Travis Paveglio,V00445866, Watershed Research And Training Center,CNR Natural Resources & Society,CNR College of Natural Resources,26089.85,4348.25,6025
5,NS5497,CONSCI1 Fire Preparedness,Travis Paveglio,V00445866, Conservation Science Partners Inc,CNR Natural Resources & Society,CNR College of Natural Resources,13367.68,2758.41,0
6,NS6899,USDI BLM Diverse wildfire recovery,Travis Paveglio,V00445866, USDI Bureau Of Land Management,CNR Natural Resources & Society,CNR College of Natural Resources,629.06,93.7,0
