Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,SL7016,USDA NIFA Pines Fires&Nitrogen,Alistair Smith,V01014374, National Institute of Food & Agriculture/USDA,COS Earth and Spatial Sciences,COS College of Science,98033.92,14435.75,6653
2,SL8162,NASA FireSense Implementation Team,Alistair Smith,V01014374, National Aeronautic Space Ad.,COS Earth and Spatial Sciences,COS College of Science,7859.77,2619.93,0
