Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,SG6324,USDA FS Advancing Understanding of,Jeffrey Hicke,V01216456, USDA Forest Service,COS Earth and Spatial Sciences,COS College of Science,6717.76,0,0
2,SL7925,USDA FS FHP-Spl-Pro-Prog: STDP tool,Jeffrey Hicke,V01216456, USDA Forest Service,COS Earth and Spatial Sciences,COS College of Science,7.2,2.4,0
3,SL7925C,USDA FS FHP-Spl-Pro-Prog: STDP-CS,Jeffrey Hicke,V01216456, USDA Forest Service,COS Earth and Spatial Sciences,COS College of Science,0,0,0
