Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AP6341,INLA Micropropagation of Astragalus,Timothy Prather,V00087132, Idaho Nursery and Landscape Association,CALS Plant Science,CALS Col of Agri & Life Sciences,21123.04,0,0
2,AP6500,USDA NRCS Slickspot Peppergrass ,Timothy Prather,V00087132, USDA Natural Resources Conservation Service,CALS Plant Science,CALS Col of Agri & Life Sciences,283.01,25.73,0
3,AP6327,USDA FS Indaziflam Impacts on Wildl,Timothy Prather,V00087132, USDA Forest Service,CALS Plant Science,CALS Col of Agri & Life Sciences,76.45,21.45,0
4,AP6500C,USDA NRCS Slickspot Peppergrass CS,Timothy Prather,V00087132, USDA Natural Resources Conservation Service,CALS Plant Science,CALS Col of Agri & Life Sciences,0,0,0
