Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW4270,MULTIP DDCSP 2019,Kerri Vierling,V01072867, Multiplier,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,96202.45,7676.49,199.25
2,NW5123,NASA GEDI Wildlife Applications,Kerri Vierling,V01072867, National Aeronautic Space Ad.,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,81044.14,15362.14,0
3,NW1421,*I* USDI NPS Developing Vegetation,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,10136.01,1509.61,0
