Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AW3577,USDA FS Fire Impacts Watershed,Erin Brooks,V00632789, USDA Forest Service,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,151111.47,0,0
2,AW2993,USDA ARS Surface Water  Quality,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,112590.47,0,0
3,AW5739,USDA NRCS Dynamic Soil Properties,Erin Brooks,V00632789, USDA Natural Resources Conservation Service,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,89581.95,8143.75,16482
4,AW4362,USDA ARS NRCS WEPP,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,40792.5,0,0
5,AW5865,JPL NASA ET Mapping,Erin Brooks,V00632789, Jet Propulsion Laboratories,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,38999.74,12999.91,0
6,AW6614,WSU NASA ROSES WEPP-Puff,Erin Brooks,V00632789, Washington State University,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,14079.7,4693.24,0
7,AW6754,WSU Wildfires and Water Security,Erin Brooks,V00632789, Washington State University,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,2904.46,0,0
