Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,LE3390,*I* IHC Our Changing Climate,Jennifer Ladino,V00361141, Idaho Humanities Council,CLASS English,"CLASS Col of Letters, Arts & SocSci",556.26,18.81,0
2,LE3390C,*I* IHC Our Changing Climate CS,Jennifer Ladino,V00361141, Idaho Humanities Council,CLASS English,"CLASS Col of Letters, Arts & SocSci",0,0,0
