Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AW2625,*I*IWC Cadmium Uptake by Wheat,Daniel Strawn,V00755054, Idaho Wheat Commission,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,32156.71,0,0
2,AW1903,*I* ACHD SRP Volcanic Materials,Daniel Strawn,V00755054, Ada County Highway District,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,7348.75,1224.8,0
3,AW0765,*I* IWC Cadmium Uptake By Wheat,Daniel Strawn,V00755054, Idaho Wheat Commission,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,470.84,0,0
