Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS4637,USDA FS Hierachical Fuel,Luigi Boschetti,V00421926, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,12269.17,0,0
2,NR5893,NASA Is the World Burning Less,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6311.25,2086.25,0
3,NR6039,MARUNI Support and Maintenance of t,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,1584.58,528.19,0
