Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR2519,*I* U IL CABBI,Tara Hudiburg,V00468064, University of Illinois,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,163258.68,48781.91,11778
2,NR1023,NSF CAREER Forest-Atmosphere Int.,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,60697.72,18653.52,0
3,NF2117,NSF - Fire-Regime Variability,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,57843.11,9948.49,11778
4,NR5021,NIFA Nez Perce Agriculture Mngmt,Tara Hudiburg,V00468064, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,38030.03,12246.98,0
5,NR5003,*I* NSF RAPID Metolius,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,33812.36,3163.85,50
6,NR3435,*I*-US BIA Tribal Resilience Progra,Tara Hudiburg,V00468064, USDI Bureau of Indian Affairs,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,835.9,124.5,0
