Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR2519,*I* U IL CABBI,Tara Hudiburg,V00468064, University of Illinois,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,157050.75,46984.87,11150
2,NR1023,NSF CAREER Forest-Atmosphere Int.,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,139452.62,35095.71,25628
3,NF2117,NSF - Fire-Regime Variability,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,72374.28,18088.34,16205
4,NR3435,*I*-US BIA Tribal Resilience Progra,Tara Hudiburg,V00468064, USDI Bureau of Indian Affairs,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,2877.62,428.58,0
