Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS0926,*I* NASA Treeline-Forest Tundra Eco,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,181903.1,17899.23,4938
2,NS1071,*I*NASA Animals on the Move,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,52499.44,10814.86,9090
3,NS2646,*I*NASA NESSF Landscape Scale Est.,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,50979.5,0,11778
4,NS3813,*I* NASA FINESST Mechanisms,Jan Eitel,V00742335, National Aeronautic Space Ad.,CNR Natural Resources & Society,CNR College of Natural Resources,37045.23,0,15632
