Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR3938,USDA FS Targeted Grazing of Cheatgr,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,98222.79,14835.48,0
2,NR3537,USDA NRCS 2019 NRI Data,Karen Launchbaugh,V00565242, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,45591.25,4144.61,0
3,NR2167,ISBOE Working landscapes Research,Karen Launchbaugh,V00565242, Idaho State Board of Education,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,13892.94,0,4479.67
4,NR3938C,USDA FS Targeted Grazing-CS,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
