Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW4270,MULTIP DDCSP 2019,Kerri Vierling,V01072867, Multiplier,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,65129.09,3982.51,137.25
2,NW5123,NASA GEDI Wildlife Applications,Kerri Vierling,V01072867, National Aeronautic Space Ad.,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,4802.21,1546.47,0
3,NW1096,*I*UF Doris Duke Scholars,Kerri Vierling,V01072867, University of Florida,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,1558.04,130.95,0
4,NW1328,*I*USDA FS Wood Decay Fungi,Kerri Vierling,V01072867, USDA Forest Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,0,0,0
