Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW1096,*I*UF Doris Duke Scholars,Kerri Vierling,V01072867, University of Florida,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,71318.32,6008.55,0
2,NW1421,*I* USDI NPS Developing Vegetation,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,45042,6708.38,0
3,NW1391,*I*NPS Weippe Prairie Analysis,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,43878.06,6534.93,11150
4,NW1328,*I*USDA FS Wood Decay Fungi,Kerri Vierling,V01072867, USDA Forest Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,1008.62,0,0
5,NW1328C,*I* USDA FS Wood Decay Fungi-Cost S,Kerri Vierling,V01072867, USDA Forest Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,0,0,0
