Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,LE6974,IHC WLA Conference,Jennifer Ladino,V00361141, Idaho Humanities Council,CLASS English,"CLASS Col of Letters, Arts & SocSci",7999.86,2202.86,0
2,LE6974C,IHC WLA Conference-CS,Jennifer Ladino,V00361141, Idaho Humanities Council,CLASS English,"CLASS Col of Letters, Arts & SocSci",0,0,0
