Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR3077,USDA NRCs-Managing Grazeland,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,141607.5,45602.44,0
2,NR3078,*I* USDA NRCSGrazing Infor. System,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,103755.72,19469.32,3002
3,NR4926,BLM AIM Support,Jason Karl,V00017256, USDI Bureau Of Land Management,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,54923.79,9280.98,9947
4,NR4979,*I* USGS Oil and Gas Reclamation,Jason Karl,V00017256, US Geological Survey,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,26500.82,3946.87,0
5,NR2560,*I* UTU WSARE Supporting Outcome,Jason Karl,V00017256, Utah State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,25320.7,2301.88,0
6,NR6038,*I*TNC UAV Imagery Workflow,Jason Karl,V00017256, Nature Conservancy,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,22000,7185.18,0
7,NR3077C,*I* USDA NRCs-Mging Grazeland CS,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
8,NR3078C,*I* USDA NRCS Grazing Info Sys CS,Jason Karl,V00017256, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
