Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR5893,NASA Is the World Burning Less,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,236419.39,65793.96,0
2,NS4637,USDA FS Hierachical Fuel,Luigi Boschetti,V00421926, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,46117.42,0,586
3,NR6039,MARUNI Support and Maintenance of t,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,36910.59,12303.53,0
4,NR5217,MICSTA Global hotspots of burned ar,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,29181.49,9397.45,0
