Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AG2737,NIFA Calf Stressors,Pedram Rezamand,V00208040, National Institute of Food & Agriculture/USDA,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,102551.66,30765.43,0
2,AG5783,Alberta Calf Weaning 2,Pedram Rezamand,V00208040, University of Alberta,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,11709.62,0,0
3,AG5285,USDA RUS Distance Learning,Pedram Rezamand,V00208040, USDA Rural Utilities Service,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,954.1,0,0
