Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS2210,*I* NASA - Polar Orbiting and GWIS,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,194767.11,62221.15,1554
2,NS0412,*I* NASA Industrial Forest Mapping,Luigi Boschetti,V00421926, NASA Shared Services Center,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,42792.75,11056.44,7329
3,NS1369,*I*NASA 2016 Fellowship - Melchior,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,9443.28,0,0
4,NA2951,*I*-UMD Earth System Data Record,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6318.47,2034.76,0
5,NS3461,*I* MICSTA Landsat 8 Sentinel 2,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,187.43,60.36,0
6,NS0803,*I*SDSU Landsat-8 Sentinel-2,Luigi Boschetti,V00421926, South Dakota State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,-1.28,-1.28,0
