Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS2210,*I* NASA - Polar Orbiting and GWIS,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,102615.27,25843.22,0
2,NS3461,*I* MICSTA Landsat 8 Sentinel 2,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,79818.02,25704.1,0
3,NS4637,USDA FS Hierachical Fuel,Luigi Boschetti,V00421926, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,44652.3,0,0
4,NR5217,MICSTA Global hotspots of burned ar,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,12760.66,4109.36,0
5,NA2951,*I*-UMD Earth System Data Record,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,4785.25,1541.02,0
