Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR2521,*I*USDA FS Caribou-Targhee Inte,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,31059.56,1479.03,0
2,NR2193,*I* USDA FS Nez Perce Internships,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,19583.34,932.54,0
3,NR2779,*I* USFS Payette Forest Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,11793.39,561.58,0
4,AM2957,*I* USDA NIFA FY19 RREA,Randall Brooks,V00007379, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,3967.2,0,0
5,NR2193C,*I*USDA FS Nez Perce Internships-Co,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
6,NR2779C,USFS Payette Forest Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
7,NR2521C,*I* USDA FS Caribou-Targhee Interns,Randall Brooks,V00007379, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
