Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AW3488,NIFA Reduce Cadmium in Wheat,Daniel Strawn,V00755054, National Institute of Food & Agriculture/USDA,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,36076.34,7824.86,11778
2,AW3652,*I*IWC FY20 Cadimum Uptake-Strawn,Daniel Strawn,V00755054, Idaho Wheat Commission,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,32878.45,0,549
3,AW2625,*I*IWC Cadmium Uptake by Wheat,Daniel Strawn,V00755054, Idaho Wheat Commission,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,6.75,0,0
