Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS2210,*I* NASA - Polar Orbiting and GWIS,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,158718.98,51112.89,0
2,NS3461,*I* MICSTA Landsat 8 Sentinel 2,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,63428.35,20426.07,0
3,NA2951,*I*-UMD Earth System Data Record,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6820.19,2196.33,0
4,NS1369,*I*NASA 2016 Fellowship - Melchior,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,2932.44,0,0
