Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,EY4009,*I*-UCSC Ecology of Salmon Redds,Daniele Tonina,V00799434, Univ of California Santa Cruz,COE Civil & Environmental Eng,COE College of Engineering,114792.83,33086.74,12050
2,EY6326,*I*-DELSTE Delta Science Program Re,Daniele Tonina,V00799434, Delta Stewardship Council,COE Civil & Environmental Eng,COE College of Engineering,43380.19,11945.26,0
3,EY1285,NSF Aquatic Veg. Hyporheic Exchange,Daniele Tonina,V00799434, National Science Foundation,COE Civil & Environmental Eng,COE College of Engineering,3062.61,986.26,0
