Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW4195,*I*Moose Ecology in Idaho,Janet Rachlow Witham,V00779206, Idaho Department of Fish & Game,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,159960.37,0,0
2,NW1669,*I*WAFWA Assessment at Range-Wide,Janet Rachlow Witham,V00779206, Western Association of Fish and Wildlife Agencies,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,1894.77,390.87,0
3,NW0821,*I*USDI NPS Dall's Sheep in Alaska,Janet Rachlow Witham,V00779206, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,-0.01,-0.01,0
