Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS4718,*I* NSF Communicating Fire,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,103750.96,21479.85,22605
2,NS5051,*I* EPA Fire Aerosolizes Microbes,Leda Kobziar,V00485099, US Environmental Protection Agency,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,16046.47,3311.17,0
3,NS4771,USDA FS FASMEE Smoke,Leda Kobziar,V00485099, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,3729.46,0,0
4,NS5310,NSF Biomass Smoke Microbes,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,1676.58,539.9,0
5,NS4771C,USDA FS FASMEE Smoke-CS,Leda Kobziar,V00485099, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
