Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW1096,*I*UF Doris Duke Scholars,Kerri Vierling,V01072867, University of Florida,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,66221.99,5579.3,0
2,NW4270,MULTIP DDCSP 2019,Kerri Vierling,V01072867, Multiplier,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,30290.17,1977.87,1245
3,NW1421,*I* USDI NPS Developing Vegetation,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,22849.69,3403.1,0
4,NW1391,*I*NPS Weippe Prairie Analysis,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,1571.92,234.12,0
5,NW1328C,*I* USDA FS Wood Decay Fungi-Cost S,Kerri Vierling,V01072867, USDA Forest Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,0,0,0
