Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,EY4009,*I*-UCSC Ecology of Salmon Redds,Daniele Tonina,V00799434, Univ of California Santa Cruz,COE Civil & Environmental Eng,COE College of Engineering,157211.09,45567.87,15711
2,EY1285,NSF Aquatic Veg. Hyporheic Exchange,Daniele Tonina,V00799434, National Science Foundation,COE Civil & Environmental Eng,COE College of Engineering,67729.12,21811.12,0
3,EY2833,*I*-IDWR Groundwater Fluxed-Yr One,Daniele Tonina,V00799434, Idaho Dept. of Water Resources,COE Civil & Environmental Eng,COE College of Engineering,1156.58,192.76,0
