Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR3537,USDA NRCS 2019 NRI Data,Karen Launchbaugh,V00565242, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,108264.92,9842.27,0
2,NR2167,ISBOE Working landscapes Research,Karen Launchbaugh,V00565242, Idaho State Board of Education,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,10466.5,0,0
3,NR3938,USDA FS Targeted Grazing of Cheatgr,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,7483.95,1544.3,0
4,NR3938C,USDA FS Targeted Grazing-CS,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
