Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,CC7638,NSF BII EMBER,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,355764.82,40444.85,586
2,NR5021,NIFA Nez Perce Agriculture Mngmt,Tara Hudiburg,V00468064, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,213556.59,56262.1,0
3,CC7636,NSF Dev ENGINE FIERCE,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,84726.01,28242,0
