Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR5893,NASA Is the World Burning Less,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,118588.57,36065.19,0
2,NS4637,USDA FS Hierachical Fuel,Luigi Boschetti,V00421926, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,89426.68,0,0
3,NR5217,MICSTA Global hotspots of burned ar,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,22572.8,7269.2,0
4,NR6039,MARUNI Support and Maintenance of t,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,11678.71,3892.91,0
5,NS3461,*I* MICSTA Landsat 8 Sentinel 2,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6155.25,1982.19,0
