Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AG5285,USDA RUS Distance Learning,Pedram Rezamand,V00208040, USDA Rural Utilities Service,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,73310.3,0,0
2,AG2737,NIFA Calf Stressors,Pedram Rezamand,V00208040, National Institute of Food & Agriculture/USDA,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,29914.35,8974.3,0
3,AG5783,Alberta Calf Weaning 2,Pedram Rezamand,V00208040, University of Alberta,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,13558.82,0,0
4,AG5285C,USDA RUS Distance Learning-CS,Pedram Rezamand,V00208040, USDA Rural Utilities Service,"CALS Animal, Vet & Food Sciences",CALS Col of Agri & Life Sciences,0,0,0
