Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR3956,USDA FS Wildland Fire Management,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,526307.24,47846.17,0
2,NF4801,USDA FS Developing Fire Prof 2020,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,305442.41,0,0
3,NR4913,USDI BLM Fuel breaks,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,117364.5,17460.65,0
4,NW5700,USDI NPS BADL Bison & Water,Eva Strand,V00096425, USDI National Park Service,CNR College of Natural Resources,CNR College of Natural Resources,31060.45,3650.21,6529
5,NR5940,USFWS Fire and Invasives,Eva Strand,V00096425, US Fish and Wildlife Service,CNR College of Natural Resources,CNR College of Natural Resources,23922.33,3562.92,0
6,NR6875,USDI BLM Sagebrush Shrub Biomass,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,20660.94,3073.63,0
7,NR7235,USDI BLM Smoke Management Course,Eva Strand,V00096425, USDI Bureau Of Land Management,CNR College of Natural Resources,CNR College of Natural Resources,9995.15,1471.81,0
8,NR4260,USDA FS Sagebrush Biome,Eva Strand,V00096425, USDA Forest Service,CNR College of Natural Resources,CNR College of Natural Resources,4382.7,0,0
9,NR5117,UNR Great Basin Online Courses,Eva Strand,V00096425, University of Nevada at Reno,CNR College of Natural Resources,CNR College of Natural Resources,3567.59,531.33,0
