Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,AW2993,USDA ARS Surface Water  Quality,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,117089.38,0,0
2,CW1495,*I*-NIFA Resilience in FEW Sys,Erin Brooks,V00632789, National Institute of Food & Agriculture/USDA,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,104433.64,28094.94,17191.5
3,AW3577,USDA FS Fire Impacts Watershed,Erin Brooks,V00632789, USDA Forest Service,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,82765.61,0,0
4,AW0729,*I* USDA FS Forest Watershed Model,Erin Brooks,V00632789, USDA Forest Service,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,49939.55,0,0
5,AW1428,*I* USDA ARS Post-Fire Erosion,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,8368.91,0,0
6,AW1428C,*I* USDA ARS Post-Fire Erosion CS,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,0,0,0
7,AW2993C,USDA ARS Surface Water Quality CS,Erin Brooks,V00632789, USDA Agricultural Research Ser,CALS Soils and Water Systems,CALS Col of Agri & Life Sciences,0,0,0
