Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,EY4009,*I*-UCSC Ecology of Salmon Redds,Daniele Tonina,V00799434, Univ of California Santa Cruz,COE Civil & Environmental Eng,COE College of Engineering,126683.62,36275.21,11229.5
2,EY2833,*I*-IDWR Groundwater Fluxed-Yr One,Daniele Tonina,V00799434, Idaho Dept. of Water Resources,COE Civil & Environmental Eng,COE College of Engineering,61118.54,10186.33,11978
3,EY1285,NSF Aquatic Veg. Hyporheic Exchange,Daniele Tonina,V00799434, National Science Foundation,COE Civil & Environmental Eng,COE College of Engineering,60569.34,19505.4,0
4,EY4862,*I*-USDA FS Lemhi Aquatic Habitat,Daniele Tonina,V00799434, USDA Forest Service,COE Civil & Environmental Eng,COE College of Engineering,37821.27,3438.24,0
