Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR6185,USDA NIFA Virtual Fence,Karen Launchbaugh,V00565242, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,82815.55,20023.31,5408
2,NR7847,USDA NRCS NRI-2024,Karen Launchbaugh,V00565242, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,81186.77,7380.6,0
3,NR3938,USDA FS Targeted Grazing of Cheatgr,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,60024.66,12386.03,0
4,NR3938C,USDA FS Targeted Grazing-CS,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
