Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NW5123,NASA GEDI Wildlife Applications,Kerri Vierling,V01072867, National Aeronautic Space Ad.,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,93363.03,9953.71,0
2,NW4270,MULTIP DDCSP 2019,Kerri Vierling,V01072867, Multiplier,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,88109.45,6808.26,0
3,NW1421,*I* USDI NPS Developing Vegetation,Kerri Vierling,V01072867, USDI National Park Service,CNR Fish & Wildlife Sciences,CNR College of Natural Resources,15138.77,2254.71,0
