Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR2519,*I* U IL CABBI,Tara Hudiburg,V00468064, University of Illinois,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,172069.51,51619.27,11778
2,NR1023,NSF CAREER Forest-Atmosphere Int.,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,104104.97,25676.15,11778
3,NR3435,*I*-US BIA Tribal Resilience Progra,Tara Hudiburg,V00468064, USDI Bureau of Indian Affairs,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,77135.64,11488.29,0
4,NF2117,NSF - Fire-Regime Variability,Tara Hudiburg,V00468064, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,61084.81,14555.37,0
