Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NR6185,USDA NIFA Virtual Fence,Karen Launchbaugh,V00565242, National Institute of Food & Agriculture/USDA,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,253441.34,67758.68,11943
2,NR3537,USDA NRCS 2019 NRI Data,Karen Launchbaugh,V00565242, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,144623.18,13147.62,0
3,NR3938,USDA FS Targeted Grazing of Cheatgr,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,100590.89,20756.82,0
4,NR7847,USDA NRCS NRI-2024,Karen Launchbaugh,V00565242, USDA Natural Resources Conservation Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,46766.28,4251.49,0
5,NC6563,IDFG Andrus WMA Grazing Plan,Karen Launchbaugh,V00565242, Idaho Department of Fish & Game,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,6686.94,0,0
6,NC7518,IDFG Andrus WMA Grazing Plan,Karen Launchbaugh,V00565242, Idaho Department of Fish & Game,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,757.6,0,0
7,NR3938C,USDA FS Targeted Grazing-CS,Karen Launchbaugh,V00565242, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,0,0,0
