Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS5310,NSF Biomass Smoke Microbes,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,142534.44,45724.09,549
2,NS5602,UF Phase II Pyroaeromycoses,Leda Kobziar,V00485099, University of Florida,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,61252.66,0,0
3,NS4718,*I* NSF Communicating Fire,Leda Kobziar,V00485099, National Science Foundation,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,41694.55,10295.6,0
4,NS4771,USDA FS FASMEE Smoke,Leda Kobziar,V00485099, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,4629.83,0,0
5,NS5051,*I* EPA Fire Aerosolizes Microbes,Leda Kobziar,V00485099, US Environmental Protection Agency,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,11.06,11.06,0
