Index,Grant Code,TITLE,PI's Name,PI's ID,Sponsor,PI's Home Dept,College,Total Expenditure,Overhead,Tuition/Fees
1,NS4637,USDA FS Hierachical Fuel,Luigi Boschetti,V00421926, USDA Forest Service,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,73166.05,0,0
2,NS3461,*I* MICSTA Landsat 8 Sentinel 2,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,69280.54,22310.65,0
3,NS2210,*I* NASA - Polar Orbiting and GWIS,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,64753.34,17919.42,0
4,NR5217,MICSTA Global hotspots of burned ar,Luigi Boschetti,V00421926, Michigan State University,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,36070.01,11615.76,0
5,NR5893,NASA Is the World Burning Less,Luigi Boschetti,V00421926, National Aeronautic Space Ad.,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,11892.8,3884.18,0
6,NR6039,MARUNI Support and Maintenance of t,Luigi Boschetti,V00421926, University of Maryland,"CNR Forest, Rangeland & Fire Sci",CNR College of Natural Resources,2162.34,706.22,0
