Name,Relevance
Sanford Eigenbrode,11
Erik Wenninger,8
Christopher Remien,6
Scott Nuismer,6
Alexander Karasev,4
James (Jim) Bull,3
George Newcombe,3
Stephen Krone,2
Shirley Luckhart,2
Courtney Conway,2
Pamela Hutchinson,2
Christine Parent,2
Esteban Hernandez-Vargas,2
Phillip Wharton,2
Benjamin Ridenhour,2
Kasia Duellman,2
Paul Hohenlohe,2
Katherine Lee,1
Louise-Marie Dandurand,1
James Woodhall,1
Lisette Waits,1
Tanya Miura,1
Shree Singh,1
